original_index,unit2_gps_nor,original_unit1_pwr_best-beam,original_unit1_pwr
3314,"[0.748333223074068, 0.6148503278131319]",15,./unit1/mmWave_data/mmWave_power_3314.txt
4014,"[0.5538306787343067, 0.2273386341025832]",44,./unit1/mmWave_data/mmWave_power_4014.txt
7900,"[0.9390585761215501, 0.5284845653828452]",11,./unit1/mmWave_data/mmWave_power_7900.txt
3093,"[0.8835822189110435, 0.06813610810776306]",21,./unit1/mmWave_data/mmWave_power_3093.txt
4953,"[0.5086868557766734, 0.7361318989671863]",40,./unit1/mmWave_data/mmWave_power_4953.txt
5705,"[0.7263269779521622, 0.6160898035135188]",31,./unit1/mmWave_data/mmWave_power_5705.txt
1325,"[0.742124578882703, 0.619796538564169]",32,./unit1/mmWave_data/mmWave_power_1325.txt
4697,"[0.5999849459821454, 0.6958021517087437]",39,./unit1/mmWave_data/mmWave_power_4697.txt
8525,"[0.32318935451169467, 0.3570392892103967]",48,./unit1/mmWave_data/mmWave_power_8525.txt
4632,"[0.15055391962594752, 0.9318288124505394]",39,./unit1/mmWave_data/mmWave_power_4632.txt
3102,"[0.8306194274516886, 0.09423526686888639]",29,./unit1/mmWave_data/mmWave_power_3102.txt
2792,"[0.8025778874549634, 0.5622661369307225]",38,./unit1/mmWave_data/mmWave_power_2792.txt
4918,"[0.2729043544881755, 0.8524204863824657]",46,./unit1/mmWave_data/mmWave_power_4918.txt
6788,"[0.47840774049551055, 0.28942937312690425]",47,./unit1/mmWave_data/mmWave_power_6788.txt
2512,"[0.7427130543435786, 0.6254326474944735]",30,./unit1/mmWave_data/mmWave_power_2512.txt
2174,"[0.24187938077562549, 0.8677853133518012]",46,./unit1/mmWave_data/mmWave_power_2174.txt
8398,"[0.8107298692295005, 0.5951590272948898]",25,./unit1/mmWave_data/mmWave_power_8398.txt
407,"[0.5778623742817265, 0.6842025261244327]",39,./unit1/mmWave_data/mmWave_power_407.txt
3103,"[0.8245567616618356, 0.09771983142420516]",6,./unit1/mmWave_data/mmWave_power_3103.txt
6742,"[0.8248373139153083, 0.09490177765696681]",29,./unit1/mmWave_data/mmWave_power_6742.txt
334,"[0.3752648709929776, 0.7884237609693792]",46,./unit1/mmWave_data/mmWave_power_334.txt
6690,"[0.8532483617414688, 0.5380612726075558]",20,./unit1/mmWave_data/mmWave_power_6690.txt
1913,"[0.6180109985555378, 0.21145930785740166]",42,./unit1/mmWave_data/mmWave_power_1913.txt
4591,"[0.4806521585427409, 0.28606173984450656]",47,./unit1/mmWave_data/mmWave_power_4591.txt
3945,"[0.9561585781744927, 0.5029934517733418]",6,./unit1/mmWave_data/mmWave_power_3945.txt
3979,"[0.8078011774020877, 0.09308933564844561]",31,./unit1/mmWave_data/mmWave_power_3979.txt
472,"[0.7412555511683546, 0.6106758656767578]",31,./unit1/mmWave_data/mmWave_power_472.txt
5834,"[0.5882815832317692, 0.21909494835433152]",44,./unit1/mmWave_data/mmWave_power_5834.txt
1191,"[0.4008202161730329, 0.7992165576997138]",44,./unit1/mmWave_data/mmWave_power_1191.txt
421,"[0.6168454521930621, 0.6667563144611225]",39,./unit1/mmWave_data/mmWave_power_421.txt
5357,"[0.4477112182106729, 0.3165926099811191]",46,./unit1/mmWave_data/mmWave_power_5357.txt
1436,"[0.6261903512742809, 0.19898269443601732]",41,./unit1/mmWave_data/mmWave_power_1436.txt
2873,"[0.6939345971040575, 0.1716732930918432]",39,./unit1/mmWave_data/mmWave_power_2873.txt
3926,"[0.835534794181686, 0.5597754914853982]",22,./unit1/mmWave_data/mmWave_power_3926.txt
3262,"[0.5989630971132163, 0.6981173996464745]",38,./unit1/mmWave_data/mmWave_power_3262.txt
5884,"[0.1797427586533561, 0.40815014045074927]",52,./unit1/mmWave_data/mmWave_power_5884.txt
2853,"[0.8288471583159932, 0.09855004707115646]",29,./unit1/mmWave_data/mmWave_power_2853.txt
5299,"[0.9049201566571454, 0.06598456502890317]",17,./unit1/mmWave_data/mmWave_power_5299.txt
5028,"[0.7985269866136594, 0.583536014917604]",27,./unit1/mmWave_data/mmWave_power_5028.txt
1272,"[0.6682138857464391, 0.6574719368145423]",36,./unit1/mmWave_data/mmWave_power_1272.txt
3005,"[0.717175956436971, 0.6141984332347626]",33,./unit1/mmWave_data/mmWave_power_3005.txt
7782,"[0.24987854139558194, 0.3964452763419418]",48,./unit1/mmWave_data/mmWave_power_7782.txt
7961,"[0.6689916769476874, 0.16105004684682703]",40,./unit1/mmWave_data/mmWave_power_7961.txt
4961,"[0.559295745411974, 0.7099742751678143]",39,./unit1/mmWave_data/mmWave_power_4961.txt
8338,"[0.7372593922446348, 0.6396866233829795]",32,./unit1/mmWave_data/mmWave_power_8338.txt
3831,"[0.36126006736009725, 0.8135056131296193]",44,./unit1/mmWave_data/mmWave_power_3831.txt
2623,"[0.6365844701686348, 0.19380261914509841]",42,./unit1/mmWave_data/mmWave_power_2623.txt
1221,"[0.5572246767299099, 0.714347521006545]",39,./unit1/mmWave_data/mmWave_power_1221.txt
4734,"[0.7298874825890354, 0.6269059870368283]",31,./unit1/mmWave_data/mmWave_power_4734.txt
1373,"[0.9120799414343731, 0.53112722164249]",13,./unit1/mmWave_data/mmWave_power_1373.txt
7762,"[0.4525832475920856, 0.29301917690463336]",47,./unit1/mmWave_data/mmWave_power_7762.txt
5341,"[0.5800725786316823, 0.2516370443015238]",44,./unit1/mmWave_data/mmWave_power_5341.txt
5563,"[0.6230974337427359, 0.193346585406011]",42,./unit1/mmWave_data/mmWave_power_5563.txt
6670,"[0.7615488309075283, 0.5798994388500508]",28,./unit1/mmWave_data/mmWave_power_6670.txt
3702,"[0.9136788611854542, 0.08115060829588215]",14,./unit1/mmWave_data/mmWave_power_3702.txt
498,"[0.7730005329669135, 0.595326629503931]",28,./unit1/mmWave_data/mmWave_power_498.txt
2311,"[0.8946035887892025, 0.551941066588198]",15,./unit1/mmWave_data/mmWave_power_2311.txt
5912,"[0.33162416946711837, 0.8079747427238114]",47,./unit1/mmWave_data/mmWave_power_5912.txt
4085,"[0.41284518760777694, 0.7804022457164589]",43,./unit1/mmWave_data/mmWave_power_4085.txt
392,"[0.5358297161874306, 0.7029349863761659]",39,./unit1/mmWave_data/mmWave_power_392.txt
2184,"[0.31005585954002457, 0.8416744625401671]",44,./unit1/mmWave_data/mmWave_power_2184.txt
4160,"[0.7487437873635706, 0.6002923296977728]",29,./unit1/mmWave_data/mmWave_power_4160.txt
3315,"[0.7483719986067218, 0.614756781937358]",33,./unit1/mmWave_data/mmWave_power_3315.txt
7088,"[0.5198450804147586, 0.7383886811687546]",39,./unit1/mmWave_data/mmWave_power_7088.txt
497,"[0.7709880077286748, 0.596125662959653]",28,./unit1/mmWave_data/mmWave_power_497.txt
1772,"[0.6592829722972228, 0.6583255378586408]",36,./unit1/mmWave_data/mmWave_power_1772.txt
292,"[0.2266565698289953, 0.8663002810610217]",48,./unit1/mmWave_data/mmWave_power_292.txt
3834,"[0.38413990205117876, 0.8017188965913764]",44,./unit1/mmWave_data/mmWave_power_3834.txt
4006,"[0.6157711423534106, 0.19104303091461866]",42,./unit1/mmWave_data/mmWave_power_4006.txt
7672,"[0.838990376838218, 0.5667446212939495]",22,./unit1/mmWave_data/mmWave_power_7672.txt
4729,"[0.7226227758217424, 0.6307764269463494]",32,./unit1/mmWave_data/mmWave_power_4729.txt
4784,"[0.8819924228015483, 0.551309635341517]",16,./unit1/mmWave_data/mmWave_power_4784.txt
5537,"[0.7919260254354118, 0.0968896164751677]",32,./unit1/mmWave_data/mmWave_power_5537.txt
6721,"[0.9484901498707659, 0.029466791445309157]",8,./unit1/mmWave_data/mmWave_power_6721.txt
7146,"[0.7099511656563146, 0.6362254443245099]",32,./unit1/mmWave_data/mmWave_power_7146.txt
6804,"[0.3460440991568116, 0.3494971937916249]",47,./unit1/mmWave_data/mmWave_power_6804.txt
6008,"[0.8239796907602355, 0.5503274089799471]",23,./unit1/mmWave_data/mmWave_power_6008.txt
2348,"[0.8603328763710786, 0.08981524814211982]",25,./unit1/mmWave_data/mmWave_power_2348.txt
1304,"[0.7069027259078886, 0.6385991584969131]",33,./unit1/mmWave_data/mmWave_power_1304.txt
1866,"[0.9402058751522334, 0.038412067423338796]",11,./unit1/mmWave_data/mmWave_power_1866.txt
6866,"[0.35890730599974996, 0.8138914877859078]",45,./unit1/mmWave_data/mmWave_power_6866.txt
4155,"[0.7440747591800473, 0.6025666516700408]",29,./unit1/mmWave_data/mmWave_power_4155.txt
1997,"[0.6640740292902763, 0.6468545368938874]",36,./unit1/mmWave_data/mmWave_power_1997.txt
2370,"[0.6997703121040392, 0.16662768954245896]",39,./unit1/mmWave_data/mmWave_power_2370.txt
7887,"[0.8593452412091481, 0.5645579980754784]",21,./unit1/mmWave_data/mmWave_power_7887.txt
3353,"[0.7904023758027764, 0.5879911130860681]",27,./unit1/mmWave_data/mmWave_power_3353.txt
5352,"[0.489784932745588, 0.296971468545676]",64,./unit1/mmWave_data/mmWave_power_5352.txt
5757,"[0.8884223155323193, 0.5370439667045863]",17,./unit1/mmWave_data/mmWave_power_5757.txt
2350,"[0.8464854557670545, 0.09612566256084512]",36,./unit1/mmWave_data/mmWave_power_2350.txt
5264,"[0.8497768126902822, 0.5595299348950057]",20,./unit1/mmWave_data/mmWave_power_5264.txt
7739,"[0.663980511898383, 0.171503741908611]",42,./unit1/mmWave_data/mmWave_power_7739.txt
527,"[0.8837806583221742, 0.536775023321219]",16,./unit1/mmWave_data/mmWave_power_527.txt
6701,"[0.9141966283535391, 0.5114242283758234]",10,./unit1/mmWave_data/mmWave_power_6701.txt
1149,"[0.48759297568852816, 0.2875116932918004]",46,./unit1/mmWave_data/mmWave_power_1149.txt
6791,"[0.45387880599059116, 0.3008068289137976]",46,./unit1/mmWave_data/mmWave_power_6791.txt
8491,"[0.590343528243075, 0.22910430322306846]",43,./unit1/mmWave_data/mmWave_power_8491.txt
593,"[0.6819837553337762, 0.17971234801576125]",39,./unit1/mmWave_data/mmWave_power_593.txt
1932,"[0.4766525782181765, 0.28804957936062126]",47,./unit1/mmWave_data/mmWave_power_1932.txt
8013,"[0.5760114136753615, 0.7033676339204903]",38,./unit1/mmWave_data/mmWave_power_8013.txt
1896,"[0.7414471478264167, 0.14083255360640054]",38,./unit1/mmWave_data/mmWave_power_1896.txt
1887,"[0.8042110209130431, 0.10685219835616673]",32,./unit1/mmWave_data/mmWave_power_1887.txt
6709,"[0.9683272470930593, 0.48630729667418376]",3,./unit1/mmWave_data/mmWave_power_6709.txt
6502,"[0.13674299358826708, 0.4441651075069219]",52,./unit1/mmWave_data/mmWave_power_6502.txt
1662,"[0.4956696873543439, 0.2793498599729841]",47,./unit1/mmWave_data/mmWave_power_1662.txt
2857,"[0.8029610807905359, 0.11196211466398862]",31,./unit1/mmWave_data/mmWave_power_2857.txt
3890,"[0.7288131727202116, 0.6196913006378845]",32,./unit1/mmWave_data/mmWave_power_3890.txt
7891,"[0.8823117505779507, 0.5534728717670134]",16,./unit1/mmWave_data/mmWave_power_7891.txt
2655,"[0.3456266921434127, 0.3545135642236729]",48,./unit1/mmWave_data/mmWave_power_2655.txt
1185,"[0.36693041621168826, 0.8153765200766873]",43,./unit1/mmWave_data/mmWave_power_1185.txt
2176,"[0.2552204387902882, 0.8626637043952566]",46,./unit1/mmWave_data/mmWave_power_2176.txt
3548,"[0.33286954776397054, 0.8301099157993418]",47,./unit1/mmWave_data/mmWave_power_3548.txt
3508,"[0.21108249831665354, 0.426707203095187]",51,./unit1/mmWave_data/mmWave_power_3508.txt
8417,"[0.9110261597955831, 0.536471001094366]",11,./unit1/mmWave_data/mmWave_power_8417.txt
4808,"[0.9464350475736322, 0.0650958838451933]",6,./unit1/mmWave_data/mmWave_power_4808.txt
1032,"[0.7604152173440859, 0.6006197380196868]",29,./unit1/mmWave_data/mmWave_power_1032.txt
5640,"[0.2596545329574406, 0.8541510759615515]",48,./unit1/mmWave_data/mmWave_power_5640.txt
1702,"[0.35415730540841917, 0.8161833489306637]",44,./unit1/mmWave_data/mmWave_power_1702.txt
2178,"[0.2686093959791906, 0.8574017773728162]",47,./unit1/mmWave_data/mmWave_power_2178.txt
3758,"[0.5056418374096439, 0.28996725919572514]",47,./unit1/mmWave_data/mmWave_power_3758.txt
2798,"[0.8301906158692901, 0.5495439662210317]",23,./unit1/mmWave_data/mmWave_power_2798.txt
2843,"[0.8930366017982584, 0.06845182437916636]",20,./unit1/mmWave_data/mmWave_power_2843.txt
5813,"[0.7475234990835107, 0.13281103845318223]",36,./unit1/mmWave_data/mmWave_power_5813.txt
3873,"[0.6709715091166513, 0.6504560341179549]",37,./unit1/mmWave_data/mmWave_power_3873.txt
3318,"[0.7485111342746134, 0.6145813844297645]",29,./unit1/mmWave_data/mmWave_power_3318.txt
4034,"[0.3950837209029268, 0.31814780205261134]",48,./unit1/mmWave_data/mmWave_power_4034.txt
359,"[0.4524737637860895, 0.7442235739011175]",48,./unit1/mmWave_data/mmWave_power_359.txt
7748,"[0.5844975491572487, 0.2190481761642094]",43,./unit1/mmWave_data/mmWave_power_7748.txt
1725,"[0.48178577211590745, 0.7498713755798464]",42,./unit1/mmWave_data/mmWave_power_1725.txt
5837,"[0.5654063103566185, 0.23191066424188223]",43,./unit1/mmWave_data/mmWave_power_5837.txt
8487,"[0.6198516950566101, 0.21488540677625992]",42,./unit1/mmWave_data/mmWave_power_8487.txt
6539,"[0.33209403745123955, 0.8026777361599714]",47,./unit1/mmWave_data/mmWave_power_6539.txt
6597,"[0.6565903549304394, 0.6291393825451236]",37,./unit1/mmWave_data/mmWave_power_6597.txt
5987,"[0.7477424667149511, 0.5893826009966033]",30,./unit1/mmWave_data/mmWave_power_5987.txt
3657,"[0.8102394730250697, 0.5755612726524216]",25,./unit1/mmWave_data/mmWave_power_3657.txt
5240,"[0.7567178579472865, 0.6004911134001293]",29,./unit1/mmWave_data/mmWave_power_5240.txt
6407,"[0.9201201584852247, 0.04106641772753392]",14,./unit1/mmWave_data/mmWave_power_6407.txt
3807,"[0.12032270350930026, 0.4463166511839936]",52,./unit1/mmWave_data/mmWave_power_3807.txt
5217,"[0.725654108721531, 0.6152946681058808]",31,./unit1/mmWave_data/mmWave_power_5217.txt
6424,"[0.8078901329974982, 0.1007483630380523]",29,./unit1/mmWave_data/mmWave_power_6424.txt
7913,"[0.9647234051367738, 0.011184518508600107]",6,./unit1/mmWave_data/mmWave_power_7913.txt
4338,"[0.11676904161577167, 0.9345884005813172]",47,./unit1/mmWave_data/mmWave_power_4338.txt
4422,"[0.6805330948824486, 0.6530869976291752]",34,./unit1/mmWave_data/mmWave_power_4422.txt
635,"[0.3636527447362533, 0.34347521080324395]",48,./unit1/mmWave_data/mmWave_power_635.txt
4775,"[0.8400145065956643, 0.5706150612034706]",21,./unit1/mmWave_data/mmWave_power_4775.txt
3920,"[0.8060768074503559, 0.5747895233398447]",25,./unit1/mmWave_data/mmWave_power_3920.txt
7084,"[0.4951313919756734, 0.7511693175149058]",42,./unit1/mmWave_data/mmWave_power_7084.txt
5860,"[0.3576539444861222, 0.34173292787752174]",47,./unit1/mmWave_data/mmWave_power_5860.txt
2366,"[0.7299331008164132, 0.151391487192681]",37,./unit1/mmWave_data/mmWave_power_2366.txt
2256,"[0.734068395456645, 0.6228776893904134]",32,./unit1/mmWave_data/mmWave_power_2256.txt
6963,"[0.7814543555146468, 0.588178204139702]",27,./unit1/mmWave_data/mmWave_power_6963.txt
3783,"[0.30512680733306224, 0.3836295604543911]",48,./unit1/mmWave_data/mmWave_power_3783.txt
997,"[0.7494349038968219, 0.6016604307156311]",29,./unit1/mmWave_data/mmWave_power_997.txt
7844,"[0.7158986453508096, 0.6431594952895756]",33,./unit1/mmWave_data/mmWave_power_7844.txt
915,"[0.5685608125393682, 0.6849859681854342]",39,./unit1/mmWave_data/mmWave_power_915.txt
2620,"[0.6621854336246884, 0.17958372339620368]",39,./unit1/mmWave_data/mmWave_power_2620.txt
8154,"[0.715490362008169, 0.1712815714132796]",38,./unit1/mmWave_data/mmWave_power_8154.txt
2985,"[0.6170552961537442, 0.6657039291164555]",39,./unit1/mmWave_data/mmWave_power_2985.txt
4336,"[0.10226699905456411, 0.9409260991431877]",47,./unit1/mmWave_data/mmWave_power_4336.txt
2591,"[0.8833700940326717, 0.06213751201205895]",21,./unit1/mmWave_data/mmWave_power_2591.txt
3965,"[0.894133720775909, 0.05523854048869075]",19,./unit1/mmWave_data/mmWave_power_3965.txt
8161,"[0.6614920361834717, 0.20321562210914998]",39,./unit1/mmWave_data/mmWave_power_8161.txt
7198,"[0.7109239749067453, 0.6376286247840658]",33,./unit1/mmWave_data/mmWave_power_7198.txt
6543,"[0.3574053250122345, 0.7905168384117786]",44,./unit1/mmWave_data/mmWave_power_6543.txt
2230,"[0.6222443724230421, 0.6828928907430349]",37,./unit1/mmWave_data/mmWave_power_2230.txt
3869,"[0.6478681450073708, 0.6628858752495153]",36,./unit1/mmWave_data/mmWave_power_3869.txt
6633,"[0.7217925236205996, 0.598725444279644]",33,./unit1/mmWave_data/mmWave_power_6633.txt
1005,"[0.7494143756862364, 0.6026660431722621]",29,./unit1/mmWave_data/mmWave_power_1005.txt
5029,"[0.8026371911787543, 0.5812441537728481]",25,./unit1/mmWave_data/mmWave_power_5029.txt
4161,"[0.7498340636173249, 0.5997193640875523]",33,./unit1/mmWave_data/mmWave_power_4161.txt
3482,"[0.39962273705042034, 0.36468662315366496]",48,./unit1/mmWave_data/mmWave_power_3482.txt
7591,"[0.3939706355403458, 0.796854536873947]",44,./unit1/mmWave_data/mmWave_power_7591.txt
6658,"[0.7296183348948381, 0.5957787650952323]",32,./unit1/mmWave_data/mmWave_power_6658.txt
6540,"[0.33840304181673897, 0.7999064545828553]",45,./unit1/mmWave_data/mmWave_power_6540.txt
5523,"[0.8778616900161438, 0.04950888707844018]",22,./unit1/mmWave_data/mmWave_power_5523.txt
7006,"[0.9427650591599352, 0.0499181478297897]",10,./unit1/mmWave_data/mmWave_power_7006.txt
1449,"[0.5184947801278412, 0.2618919549630374]",48,./unit1/mmWave_data/mmWave_power_1449.txt
7244,"[0.761583044604803, 0.614967259086053]",28,./unit1/mmWave_data/mmWave_power_7244.txt
3168,"[0.3888522675638385, 0.3295603366829904]",47,./unit1/mmWave_data/mmWave_power_3168.txt
1782,"[0.692859146790975, 0.6413470532810545]",34,./unit1/mmWave_data/mmWave_power_1782.txt
971,"[0.749548949528473, 0.5972871841789867]",30,./unit1/mmWave_data/mmWave_power_971.txt
1269,"[0.6665237294725338, 0.6581150607099459]",33,./unit1/mmWave_data/mmWave_power_1269.txt
5720,"[0.7496493096734349, 0.6038236671411275]",29,./unit1/mmWave_data/mmWave_power_5720.txt
1712,"[0.40509464647143234, 0.7896866234627411]",45,./unit1/mmWave_data/mmWave_power_1712.txt
4021,"[0.49888577416885005, 0.25999766122299456]",46,./unit1/mmWave_data/mmWave_power_4021.txt
1811,"[0.7559081339470051, 0.60936623029536]",29,./unit1/mmWave_data/mmWave_power_1811.txt
3356,"[0.8009447540163319, 0.5805425635430702]",26,./unit1/mmWave_data/mmWave_power_3356.txt
6916,"[0.6880783539226626, 0.6414990646935869]",34,./unit1/mmWave_data/mmWave_power_6916.txt
3715,"[0.8331284313480131, 0.12302385417947866]",27,./unit1/mmWave_data/mmWave_power_3715.txt
4309,"[0.29851216066812547, 0.38380495806168663]",48,./unit1/mmWave_data/mmWave_power_4309.txt
1093,"[0.9063548506943702, 0.055577642954857086]",19,./unit1/mmWave_data/mmWave_power_1093.txt
580,"[0.7714685199823819, 0.1311272217621324]",36,./unit1/mmWave_data/mmWave_power_580.txt
5615,"[0.08150385131182093, 0.9399555662279562]",49,./unit1/mmWave_data/mmWave_power_5615.txt
2694,"[0.2457660559225215, 0.8565130967873181]",45,./unit1/mmWave_data/mmWave_power_2694.txt
4132,"[0.7112752354432846, 0.6190364825982286]",33,./unit1/mmWave_data/mmWave_power_4132.txt
1962,"[0.4155571927311631, 0.7716908329821853]",44,./unit1/mmWave_data/mmWave_power_1962.txt
330,"[0.3612623482777868, 0.796269878615004]",45,./unit1/mmWave_data/mmWave_power_330.txt
4437,"[0.7263931244192978, 0.6294434054698904]",32,./unit1/mmWave_data/mmWave_power_4437.txt
5775,"[0.9800488571363314, 0.019013096383525167]",2,./unit1/mmWave_data/mmWave_power_5775.txt
7758,"[0.4912196267925369, 0.2719831621615078]",45,./unit1/mmWave_data/mmWave_power_7758.txt
5904,"[0.26992776349624703, 0.8375233865985561]",45,./unit1/mmWave_data/mmWave_power_5904.txt
6854,"[0.23601743528542052, 0.8721819459835067]",46,./unit1/mmWave_data/mmWave_power_6854.txt
943,"[0.7166110504232324, 0.6103991268951361]",33,./unit1/mmWave_data/mmWave_power_943.txt
2666,"[0.0028374553240368555, 0.9704747430179322]",50,./unit1/mmWave_data/mmWave_power_2666.txt
4983,"[0.6814112462578311, 0.6464452761425379]",33,./unit1/mmWave_data/mmWave_power_4983.txt
3966,"[0.8882945844237031, 0.0576941064923175]",20,./unit1/mmWave_data/mmWave_power_3966.txt
7674,"[0.8502580852628512, 0.561552853254606]",22,./unit1/mmWave_data/mmWave_power_7674.txt
2467,"[0.5580024679506064, 0.718802619274711]",39,./unit1/mmWave_data/mmWave_power_2467.txt
3513,"[0.17529725994637646, 0.43692703501291696]",51,./unit1/mmWave_data/mmWave_power_3513.txt
2164,"[0.1767844149737718, 0.890095884034627]",48,./unit1/mmWave_data/mmWave_power_2164.txt
2010,"[0.7267215758470102, 0.6115645462622558]",32,./unit1/mmWave_data/mmWave_power_2010.txt
8131,"[0.8800787370899958, 0.07528648324379889]",22,./unit1/mmWave_data/mmWave_power_8131.txt
3296,"[0.7354597521452853, 0.6234798881179701]",31,./unit1/mmWave_data/mmWave_power_3296.txt
8337,"[0.7355674112307434, 0.6404373250105975]",31,./unit1/mmWave_data/mmWave_power_8337.txt
5668,"[0.5258621279383374, 0.7199368570488134]",39,./unit1/mmWave_data/mmWave_power_5668.txt
6880,"[0.47183186937295163, 0.7572965390277833]",43,./unit1/mmWave_data/mmWave_power_6880.txt
4962,"[0.5655317605572692, 0.706758653397651]",56,./unit1/mmWave_data/mmWave_power_4962.txt
3612,"[0.7055296165121444, 0.6259939197580574]",33,./unit1/mmWave_data/mmWave_power_3612.txt
7595,"[0.42716019533657734, 0.7793615530205147]",44,./unit1/mmWave_data/mmWave_power_7595.txt
1718,"[0.4356862467759288, 0.7734331153096957]",43,./unit1/mmWave_data/mmWave_power_1718.txt
7180,"[0.7105179724526219, 0.6370322730787844]",8,./unit1/mmWave_data/mmWave_power_7180.txt
4703,"[0.6321366905439656, 0.6787885876894598]",37,./unit1/mmWave_data/mmWave_power_4703.txt
7787,"[0.3012355703799594, 0.8538470537346984]",45,./unit1/mmWave_data/mmWave_power_7787.txt
8035,"[0.7056482239694505, 0.6353367637390119]",34,./unit1/mmWave_data/mmWave_power_8035.txt
5057,"[0.9518339678036123, 0.5127104769642463]",6,./unit1/mmWave_data/mmWave_power_5057.txt
2966,"[0.4838614026236266, 0.7341674461443445]",42,./unit1/mmWave_data/mmWave_power_2966.txt
1944,"[0.2846373690907231, 0.8411950421078067]",46,./unit1/mmWave_data/mmWave_power_1944.txt
4328,"[0.11202474334297512, 0.4719130027197817]",51,./unit1/mmWave_data/mmWave_power_4328.txt
3652,"[0.7904799268389116, 0.5849158092820989]",28,./unit1/mmWave_data/mmWave_power_3652.txt
